source,source_column_or_concept,master_field,transformation_or_use,role
NMPB,Botanical Name,scientific_name,normalize to genus+species key; retain original scientific name,reference
NMPB,Family Name,family,clean whitespace; preserve family,reference
NMPB,Sanskrit Names,nmpb_api_sanskrit_names,retain as supplied,reference
NMPB,Trade Name,vernacular_names,retain as secondary vernacular/trade name,reference
NMPB,Part(s) Used,parts_used,retain as supplied,reference
NMPB,Med. Sys. Tag,nmpb_med_system_tag,retain coded tag; A indicates Ayurveda among source codes,reference
BSI,Scientific_Name,scientific_name,normalize to genus+species key for conservative entity resolution,reference
BSI,Family,family,trim/normalize whitespace,reference
BSI,Common_Name,common_name/vernacular_names,use as common/vernacular reference,reference
BSI,Herbarium_Uses_URL,bsi_herbarium_uses_url,retain source URL,reference
IoT,date + time,timestamp,combine into ISO timestamp,reference schema
IoT,mote id,mote_id,rename to sensor/mote identifier,reference schema
IoT,temperature,temperature_c,Celsius sensor value,reference schema
IoT,humidity,humidity_pct,relative humidity percentage,reference schema
IoT,light,light_lux,light sensor value; not core to TraceVeda but retained in reference,reference schema
IoT,voltage,voltage_v,sensor voltage; device-health reference,reference schema
EPCIS,eventTime,event_timestamp,chronological event context,schema reference
EPCIS,bizStep,business_step,business step of event,schema reference
EPCIS,disposition,disposition,business condition/status,schema reference
EPCIS,readPoint/bizLocation,location,event location context,schema reference
EPCIS,sourceList/destinationList,source/destination,transfer endpoints,schema reference
EPCIS,sensorElementList,sensor_data,sensor observation/event context,schema reference
