investigation_id,report_id,auditor_id,opened_at,suspected_stage,evidence_summary,root_cause,investigation_status,action_taken,closed_at,is_synthetic
INV-2026-001,RPT-2026-001,AUD-001,2026-06-22T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",NO_TRACEABILITY_ANOMALY_FOUND,CLOSED,CONTINUE_MONITORING,2026-06-22T17:00:00,True
INV-2026-002,RPT-2026-002,AUD-002,2026-06-23T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",NO_TRACEABILITY_ANOMALY_FOUND,CLOSED,CONTINUE_MONITORING,2026-06-23T17:00:00,True
INV-2026-003,RPT-2026-003,AUD-003,2026-06-24T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",UNKNOWN,UNDER_INVESTIGATION,NO_CONCLUSIVE_ROOT_CAUSE,,True
INV-2026-004,RPT-2026-004,AUD-004,2026-06-25T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",NO_TRACEABILITY_ANOMALY_FOUND,CLOSED,CONTINUE_MONITORING,2026-06-25T17:00:00,True
INV-2026-005,RPT-2026-005,AUD-005,2026-06-26T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",NO_TRACEABILITY_ANOMALY_FOUND,CLOSED,CONTINUE_MONITORING,2026-06-26T17:00:00,True
INV-2026-006,RPT-2026-006,AUD-001,2026-06-27T11:00:00,TRANSPORT,"Traceability, lab, custody and IoT evidence reviewed.",TRANSPORT_ENVIRONMENTAL_BREACH,ROOT_CAUSE_IDENTIFIED,TARGETED_INVESTIGATION,,True
INV-2026-007,RPT-2026-007,AUD-002,2026-06-28T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",NO_TRACEABILITY_ANOMALY_FOUND,CLOSED,CONTINUE_MONITORING,2026-06-28T17:00:00,True
INV-2026-008,RPT-2026-008,AUD-003,2026-06-29T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",NO_TRACEABILITY_ANOMALY_FOUND,CLOSED,CONTINUE_MONITORING,2026-06-29T17:00:00,True
INV-2026-009,RPT-2026-009,AUD-004,2026-06-30T11:00:00,STORAGE,"Traceability, lab, custody and IoT evidence reviewed.",MANUFACTURER_STORAGE_ENVIRONMENTAL_BREACH,ROOT_CAUSE_IDENTIFIED,BATCH_HOLD,,True
INV-2026-010,RPT-2026-010,AUD-005,2026-07-01T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",NO_TRACEABILITY_ANOMALY_FOUND,CLOSED,CONTINUE_MONITORING,2026-07-01T17:00:00,True
INV-2026-011,RPT-2026-011,AUD-001,2026-07-02T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",NO_TRACEABILITY_ANOMALY_FOUND,CLOSED,CONTINUE_MONITORING,2026-07-02T17:00:00,True
INV-2026-012,RPT-2026-012,AUD-002,2026-07-03T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",UNKNOWN,UNDER_INVESTIGATION,NO_CONCLUSIVE_ROOT_CAUSE,,True
INV-2026-013,RPT-2026-013,AUD-003,2026-07-04T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",NO_TRACEABILITY_ANOMALY_FOUND,CLOSED,CONTINUE_MONITORING,2026-07-04T17:00:00,True
INV-2026-014,RPT-2026-014,AUD-004,2026-07-05T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",NO_TRACEABILITY_ANOMALY_FOUND,CLOSED,CONTINUE_MONITORING,2026-07-05T17:00:00,True
INV-2026-015,RPT-2026-015,AUD-005,2026-07-06T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",NO_TRACEABILITY_ANOMALY_FOUND,CLOSED,CONTINUE_MONITORING,2026-07-06T17:00:00,True
INV-2026-016,RPT-2026-016,AUD-001,2026-07-07T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",NO_TRACEABILITY_ANOMALY_FOUND,CLOSED,CONTINUE_MONITORING,2026-07-07T17:00:00,True
INV-2026-017,RPT-2026-017,AUD-002,2026-07-08T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",UNKNOWN,UNDER_INVESTIGATION,NO_CONCLUSIVE_ROOT_CAUSE,,True
INV-2026-018,RPT-2026-018,AUD-003,2026-07-09T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",NO_TRACEABILITY_ANOMALY_FOUND,CLOSED,CONTINUE_MONITORING,2026-07-09T17:00:00,True
INV-2026-019,RPT-2026-019,AUD-004,2026-07-10T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",NO_TRACEABILITY_ANOMALY_FOUND,CLOSED,CONTINUE_MONITORING,2026-07-10T17:00:00,True
INV-2026-020,RPT-2026-020,AUD-005,2026-07-11T11:00:00,UNKNOWN,"Traceability, lab, custody and IoT evidence reviewed.",NO_TRACEABILITY_ANOMALY_FOUND,CLOSED,CONTINUE_MONITORING,2026-07-11T17:00:00,True
